frame,timestamp,track_id,class_name,bev_x,bev_y,speed_mps,heading_deg,acc_mps2,risk_index
4,2026-04-14T13:26:24.726037,9,car,11.7997,8.0282,0.5078,-33.2988,-2.1873,0.0
4,2026-04-14T13:26:24.726037,10,car,8.9572,13.0023,1.1715,-96.7923,4.3423,0.0
4,2026-04-14T13:26:24.726037,11,car,11.8315,5.3121,0.0,0.0,0.0,0.0
4,2026-04-14T13:26:24.726037,12,car,20.9957,7.589,4.5296,119.256,45.2963,0.0
4,2026-04-14T13:26:24.726037,13,car,20.935,7.589,0.0,0.0,0.0,0.0
5,2026-04-14T13:26:24.785928,1,car,18.872,13.4334,3.8361,80.1035,13.5599,0.0
5,2026-04-14T13:26:24.785928,2,car,11.5765,13.8892,1.6227,-84.1385,4.9525,0.0
5,2026-04-14T13:26:24.785928,3,car,6.6278,15.1189,1.241,-123.5212,-2.2086,0.0
5,2026-04-14T13:26:24.785928,4,car,5.8426,9.0093,1.5771,-93.2725,3.6376,0.0
5,2026-04-14T13:26:24.785928,5,car,12.3536,15.475,1.1759,-0.7841,4.9343,0.0
5,2026-04-14T13:26:24.785928,6,car,8.7617,8.2733,2.094,-100.301,11.8731,0.0
5,2026-04-14T13:26:24.785928,7,car,9.0312,13.1912,0.0,0.0,0.0,0.0
5,2026-04-14T13:26:24.785928,8,car,23.8495,8.2039,1.8233,57.1489,-7.9159,0.0
5,2026-04-14T13:26:24.785928,9,car,11.7997,8.0282,0.259,-33.2988,-3.8007,0.0
5,2026-04-14T13:26:24.785928,10,car,8.931,12.9425,1.383,-106.4528,4.7199,0.0
5,2026-04-14T13:26:24.785928,11,car,11.8315,5.3121,0.0,0.0,0.0,0.0
5,2026-04-14T13:26:24.785928,12,car,21.0041,7.6814,3.248,107.2113,14.3617,0.0
5,2026-04-14T13:26:24.785928,13,car,20.935,7.589,0.0,0.0,0.0,0.0
6,2026-04-14T13:26:24.848599,1,car,18.8874,13.5927,3.9124,82.2553,8.8988,0.0
6,2026-04-14T13:26:24.848599,2,car,11.5563,13.8233,1.6383,-95.5526,3.1279,0.0
6,2026-04-14T13:26:24.848599,3,car,6.1431,14.9449,6.7472,-156.9882,53.7371,0.0
