frame,timestamp,track_id,class_name,bev_x,bev_y,speed_mps,heading_deg,acc_mps2,risk_index
2878,2026-07-23T16:45:27.282724,472,truck,3.2889,0.7438,0.1337,-63.0508,-0.5189,0.0
2878,2026-07-23T16:45:27.282724,344,car,6.2519,4.3789,0.0676,79.4041,-0.0139,0.0
2878,2026-07-23T16:45:27.282724,352,bus,4.9572,6.9594,1.1324,81.267,0.3349,0.0
2878,2026-07-23T16:45:27.282724,227,car,2.9726,4.6197,0.3891,81.5358,0.2251,0.0
2878,2026-07-23T16:45:27.282724,358,car,9.8259,4.1955,0.0451,77.5989,0.0761,0.0
2878,2026-07-23T16:45:27.282724,491,car,5.3787,-1.7021,0.7765,90.7752,0.4445,0.0
2878,2026-07-23T16:45:27.282724,371,car,9.0454,11.2484,3.0082,80.1791,0.7571,0.0
2878,2026-07-23T16:45:27.282724,500,car,8.2205,6.3017,1.7452,73.0738,0.4521,0.0
2878,2026-07-23T16:45:27.282724,383,car,7.8414,3.7555,1.0529,77.858,0.2444,0.0
2879,2026-07-23T16:45:27.547811,384,car,9.2225,2.7081,0.0408,69.6998,-0.0411,0.0
2879,2026-07-23T16:45:27.547811,389,pedestrian,14.3091,13.5763,0.0099,178.872,0.0043,0.0
2879,2026-07-23T16:45:27.547811,402,car,6.2174,2.5976,0.3572,41.5507,-0.0016,0.0
2879,2026-07-23T16:45:27.547811,405,car,6.0229,1.1757,0.5181,73.3498,-0.013,0.0
2879,2026-07-23T16:45:27.547811,414,car,7.2776,1.0554,0.6863,85.5862,0.0211,0.0
2879,2026-07-23T16:45:27.547811,416,car,2.5682,-5.3816,0.3073,-95.4022,0.4662,0.0
2879,2026-07-23T16:45:27.547811,417,car,7.2116,-0.6452,0.2652,67.9473,-0.0376,0.0
2879,2026-07-23T16:45:27.547811,552,car,9.1541,1.4248,0.1103,103.593,0.091,0.0
2879,2026-07-23T16:45:27.547811,559,car,13.0175,-8.1503,1.573,145.3411,1.7028,0.0
2879,2026-07-23T16:45:27.547811,561,car,3.9213,-3.2797,0.3604,77.9948,0.2822,0.0
2879,2026-07-23T16:45:27.547811,564,truck,33.4153,6.4626,0.0242,-176.6616,-0.2794,0.0
2879,2026-07-23T16:45:27.547811,570,car,11.771,-10.0103,1.5172,-121.6754,-0.4927,0.0
2879,2026-07-23T16:45:27.547811,571,car,17.9881,-3.9293,1.8942,-114.1582,-0.1112,0.0
2879,2026-07-23T16:45:27.547811,572,car,14.8187,-4.7459,2.2735,-117.2252,-0.3073,0.0
2879,2026-07-23T16:45:27.547811,573,car,4.6478,2.1125,0.2075,101.1207,0.0049,0.0
2879,2026-07-23T16:45:27.547811,574,car,6.6104,-2.088,0.2689,78.3388,0.202,0.0
2879,2026-07-23T16:45:27.547811,575,car,5.5587,-0.2773,0.3456,80.105,-0.4438,0.0
2879,2026-07-23T16:45:27.547811,576,car,19.5333,-1.2991,2.2096,-124.1365,-0.467,0.0
2879,2026-07-23T16:45:27.547811,445,car,3.9693,-1.4301,0.1675,95.4821,-0.4697,0.0
2879,2026-07-23T16:45:27.547811,580,car,4.7679,-5.2072,0.9303,85.4293,0.044,0.0
2879,2026-07-23T16:45:27.547811,581,car,16.6973,-1.3942,2.8932,-119.6136,-0.4178,0.0
2879,2026-07-23T16:45:27.547811,454,car,6.0723,-4.8951,0.0294,-109.7788,-0.0118,0.0
2879,2026-07-23T16:45:27.547811,582,car,4.4838,4.3431,0.6989,68.3182,0.5167,0.0
2879,2026-07-23T16:45:27.547811,586,car,2.1869,-0.6072,0.1886,93.9758,-0.3617,0.0
2879,2026-07-23T16:45:27.547811,592,car,3.5032,-5.3733,0.7227,99.7849,0.0119,0.0
2879,2026-07-23T16:45:27.547811,593,car,1.7864,3.7163,0.1367,-106.4573,-0.6766,0.0
2879,2026-07-23T16:45:27.547811,594,truck,24.5989,10.1415,3.2901,-173.4391,-3.9763,0.0
2879,2026-07-23T16:45:27.547811,467,car,4.3521,0.5447,0.4963,16.2871,-0.1015,0.0
2879,2026-07-23T16:45:27.547811,595,car,4.2502,-7.2015,0.1771,0.0,0.0,0.0
2879,2026-07-23T16:45:27.547811,472,truck,3.2756,0.7623,0.1138,-63.0508,-0.3976,0.0
2879,2026-07-23T16:45:27.547811,344,car,6.2514,4.3864,0.071,79.4041,-0.0207,0.0
2879,2026-07-23T16:45:27.547811,352,bus,4.9749,7.0314,1.1293,80.6367,0.3102,0.0
2879,2026-07-23T16:45:27.547811,227,car,2.979,4.6557,0.409,81.2527,0.211,0.0
2879,2026-07-23T16:45:27.547811,358,car,9.8247,4.1998,0.0476,77.5989,0.0648,0.0
2879,2026-07-23T16:45:27.547811,491,car,5.3776,-1.6798,0.721,90.8908,0.0138,0.0
2879,2026-07-23T16:45:27.547811,371,car,9.0802,11.4712,3.0549,80.3093,0.7939,0.0
2879,2026-07-23T16:45:27.547811,500,car,8.2546,6.424,1.7649,73.26,0.4691,0.0
2879,2026-07-23T16:45:27.547811,383,car,7.8607,3.8335,1.0721,77.6067,0.1921,0.0
2880,2026-07-23T16:45:27.807814,384,car,9.229,2.7062,0.0406,69.6998,-0.0093,0.0
2880,2026-07-23T16:45:27.807814,389,pedestrian,14.3025,13.5801,0.0227,178.872,-0.0008,0.0
2880,2026-07-23T16:45:27.807814,402,car,6.2504,2.5968,0.3603,34.8035,-0.0144,0.0
2880,2026-07-23T16:45:27.807814,405,car,6.0328,1.2311,0.5586,74.5795,0.0667,0.0
2880,2026-07-23T16:45:27.807814,533,car,4.0042,-1.5976,0.4202,92.8487,0.2256,0.0
2880,2026-07-23T16:45:27.807814,414,car,7.2837,1.1062,0.6965,85.2393,0.0052,0.0
2880,2026-07-23T16:45:27.807814,416,car,2.5484,-5.4306,0.3652,-99.8785,0.5295,0.0
2880,2026-07-23T16:45:27.807814,417,car,7.2436,-0.6478,0.2717,67.9473,-0.0552,0.0
2880,2026-07-23T16:45:27.807814,552,car,9.1572,1.4267,0.0968,103.593,0.0951,0.0
2880,2026-07-23T16:45:27.807814,559,car,12.9475,-8.1784,1.4603,149.9246,1.0246,0.0
2880,2026-07-23T16:45:27.807814,561,car,3.9285,-3.2427,0.3861,78.1785,0.2754,0.0
2880,2026-07-23T16:45:27.807814,564,car,33.3793,6.4598,0.0472,-176.6616,-0.3337,0.0
2880,2026-07-23T16:45:27.807814,570,car,11.6892,-10.0349,1.4478,-126.1178,-0.1565,0.0
2880,2026-07-23T16:45:27.807814,571,car,17.931,-4.086,1.9697,-113.5006,0.0199,0.0
2880,2026-07-23T16:45:27.807814,572,car,14.7825,-4.8805,2.2451,-115.8074,-0.3037,0.0
2880,2026-07-23T16:45:27.807814,573,car,4.6512,2.1444,0.223,101.1207,0.0842,0.0
2880,2026-07-23T16:45:27.807814,574,car,6.6214,-2.0608,0.2901,78.3388,0.24,0.0
2880,2026-07-23T16:45:27.807814,575,car,5.5668,-0.2558,0.3448,78.7478,-0.4032,0.0
2880,2026-07-23T16:45:27.807814,576,car,19.4439,-1.403,2.1888,-124.9128,-0.4058,0.0
2880,2026-07-23T16:45:27.807814,445,car,3.9769,-1.4038,0.1959,95.4821,-0.5355,0.0
2880,2026-07-23T16:45:27.807814,580,car,4.7757,-5.1751,0.8749,84.7815,-0.1094,0.0
2880,2026-07-23T16:45:27.807814,581,car,16.6124,-1.5508,2.8651,-119.4794,-0.4197,0.0
2880,2026-07-23T16:45:27.807814,454,car,6.0769,-4.8934,0.0351,-109.7788,0.0128,0.0
2880,2026-07-23T16:45:27.807814,582,car,4.5019,4.4191,0.757,69.9225,0.5899,0.0
2880,2026-07-23T16:45:27.807814,586,car,2.1812,-0.5769,0.2224,93.9758,-0.3668,0.0
2880,2026-07-23T16:45:27.807814,588,car,22.4461,6.8129,4.0814,-115.6049,0.2102,0.0
2880,2026-07-23T16:45:27.807814,589,car,19.1265,3.6183,3.8638,-117.8869,1.1823,0.0
2880,2026-07-23T16:45:27.807814,592,car,3.5007,-5.3274,0.7173,98.8688,-0.5132,0.0
2880,2026-07-23T16:45:27.807814,593,car,1.8022,3.747,0.1227,-106.4573,-0.5976,0.0
2880,2026-07-23T16:45:27.807814,594,truck,24.7604,9.9389,2.3015,-156.5085,-7.0942,0.0
2880,2026-07-23T16:45:27.807814,467,car,4.3765,0.5518,0.4646,16.2871,-0.2484,0.0
2880,2026-07-23T16:45:27.807814,595,car,4.2416,-7.2041,0.0001,0.0,0.0,0.0
2880,2026-07-23T16:45:27.807814,472,truck,3.2659,0.779,0.1131,-63.0508,-0.3154,0.0
2880,2026-07-23T16:45:27.807814,344,car,6.2466,4.4026,0.0883,79.4041,0.0017,0.0
2880,2026-07-23T16:45:27.807814,352,truck,4.9863,7.118,1.152,80.9015,0.2862,0.0
2880,2026-07-23T16:45:27.807814,227,car,2.9869,4.6952,0.4336,80.8174,0.2034,0.0
2880,2026-07-23T16:45:27.807814,358,car,9.8238,4.2034,0.0483,77.5989,0.0465,0.0
2880,2026-07-23T16:45:27.807814,491,car,5.3721,-1.6475,0.6913,91.6786,-0.2978,0.0
2880,2026-07-23T16:45:27.807814,371,car,9.1199,11.6994,3.1074,80.2856,0.8116,0.0
2880,2026-07-23T16:45:27.807814,500,car,8.2844,6.5588,1.8026,73.8752,0.4814,0.0
2880,2026-07-23T16:45:27.807814,383,car,7.8865,3.9105,1.0895,76.7522,0.1621,0.0
2881,2026-07-23T16:45:28.106866,384,car,9.2282,2.7172,0.0156,69.6998,-0.0166,0.0
2881,2026-07-23T16:45:28.106866,389,pedestrian,14.2968,13.5835,0.0323,178.872,-0.0029,0.0
2881,2026-07-23T16:45:28.106866,402,car,6.282,2.6228,0.3919,35.703,0.0032,0.0
2881,2026-07-23T16:45:28.106866,405,car,6.0388,1.2909,0.6002,76.3957,0.1988,0.0
2881,2026-07-23T16:45:28.106866,533,car,4.0048,-1.5408,0.4759,92.0572,0.2211,0.0
2881,2026-07-23T16:45:28.106866,414,car,7.2976,1.1488,0.6913,83.6381,-0.0124,0.0
2881,2026-07-23T16:45:28.106866,416,car,2.5231,-5.4979,0.4533,-103.0675,0.5902,0.0
2881,2026-07-23T16:45:28.106866,417,car,7.274,-0.6321,0.3009,36.5577,-0.0507,0.0
2881,2026-07-23T16:45:28.106866,552,car,9.1594,1.429,0.084,103.593,0.0978,0.0
2881,2026-07-23T16:45:28.106866,559,car,12.8593,-8.2184,1.3916,155.9561,0.3114,0.0
2881,2026-07-23T16:45:28.106866,561,car,3.9346,-3.2333,0.3573,76.929,0.2492,0.0
2881,2026-07-23T16:45:28.106866,564,car,33.3416,6.4555,0.1127,-176.6616,-0.2888,0.0
2881,2026-07-23T16:45:28.106866,570,car,11.6168,-10.0529,1.3752,-129.9649,-0.0405,0.0
2881,2026-07-23T16:45:28.106866,571,car,17.8642,-4.2481,2.0525,-113.3253,0.2161,0.0
2881,2026-07-23T16:45:28.106866,573,car,4.6522,2.1847,0.2544,101.1207,0.1525,0.0
2881,2026-07-23T16:45:28.106866,574,car,6.6306,-2.0386,0.2986,78.3388,0.2645,0.0
2881,2026-07-23T16:45:28.106866,575,car,5.5766,-0.2384,0.3375,76.7656,-0.3678,0.0
2881,2026-07-23T16:45:28.106866,576,car,19.3723,-1.5328,2.1915,-124.1447,-0.3252,0.0
2881,2026-07-23T16:45:28.106866,445,car,3.9718,-1.4411,0.1018,95.4821,-0.6076,0.0
